Country;Control of Corrupt.;Govern. Effect.;Polit. Stab.;Regul. Quality;Rule of Law;Voice&Account.
Armenia;-0.451385140419006;-0.135414749383926;-0.291858524084091;0.248900607228279;-0.343095302581787;-0.536519169807434
Belgium;1.58263218402863;1.44135928153992;0.603096723556519;1.27732384204865;1.42105519771576;1.39274287223816
Brazil;-0.432712525129318;-0.189013719558716;-0.379240781068802;-0.212529927492142;-0.192782074213028;0.383080542087555
Chad;-1.29250466823578;-1.45036351680756;-0.986350893974304;-1.19602870941162;-1.16122758388519;-1.35185611248016
Czech Republic;0.390838533639908;1.05149567127228;0.959901213645935;1.08479988574982;1.12322509288788;1.01953780651093
Finland;2.28353333473206;1.8225005865097;1.03871941566467;1.82845723628998;2.07349252700806;1.56010985374451
Haiti;-1.25734460353851;-2.00214624404907;-0.729088246822357;-1.15908682346343;-1.16645729541779;-0.836117923259735
Japan;1.60863041877747;1.79138791561127;0.977663338184357;1.17700457572937;1.511390209198;1.02250683307648
Liberia;-0.61063688993454;-1.36729085445404;-0.738625288009644;-0.881921291351318;-0.870828688144684;-0.258795410394669
Mauritania;-0.906050145626068;-1.02858769893646;-0.656419038772583;-0.858530163764954;-0.820225477218628;-0.90747332572937
Netherlands;1.89211082458496;1.84179282188416;0.929998457431793;1.76884424686432;1.93468642234802;1.5696234703064
Philippines;-0.43005234003067;0.107092209160328;-0.838326215744019;-0.0369303822517395;-0.345095425844193;0.136828944087029
Russian Federation;-0.862618625164031;-0.182619988918304;-1.04905080795288;-0.522402584552765;-0.71967339515686;-1.06747353076935
Slovenia;0.726809978485107;0.973970353603363;0.919429838657379;0.620738446712494;0.953715264797211;0.945217251777649
Tajikistan;-0.997934997081757;-0.819396197795868;-0.866736471652985;-1.00610792636871;-1.00964248180389;-1.51295590400696
United Kingdom;1.86739253997803;1.73875534534454;0.556856215000153;1.85561776161194;1.80505681037903;1.27008998394012
United States;1.37852740287781;1.46199536323547;0.699094891548157;1.29757690429688;1.60370576381683;1.07516956329346
Uruguay;1.2981538772583;0.540124297142029;0.989899694919586;0.452428162097931;0.675224542617798;1.12164950370789
Vietnam;-0.4470434486866;0.0769642218947411;0.0106764985248446;-0.496353685855865;-0.26854208111763;-1.32891476154327
Zimbabwe;-1.28689205646515;-1.14796876907349;-0.577251553535461;-1.64690148830414;-1.34908628463745;-1.19269394874573
